"filename", "language", "Solidity", "WebAssembly Text Format", "comment", "blank", "total"
"/home/nov1ce/zk-snark/git_mixer/backend/contracts/MiMC5Sponge.sol", "Solidity", 60, 0, 0, 14, 74
"/home/nov1ce/zk-snark/git_mixer/backend/contracts/Mixer.sol", "Solidity", 159, 0, 0, 30, 189
"/home/nov1ce/zk-snark/git_mixer/backend/contracts/ReentrancyGuard.sol", "Solidity", 76, 0, 0, 11, 87
"/home/nov1ce/zk-snark/git_mixer/backend/contracts/Verifier.sol", "Solidity", 133, 0, 0, 50, 183
"/home/nov1ce/zk-snark/git_mixer/circuit/Verifier.sol", "Solidity", 116, 0, 17, 50, 183
"/home/nov1ce/zk-snark/git_mixer/circuit/deposit_js/deposit.wasm", "WebAssembly Text Format", 0, 17625, 0, 17, 17642
"/home/nov1ce/zk-snark/git_mixer/circuit/withdraw_js/withdraw.wasm", "WebAssembly Text Format", 0, 17675, 0, 17, 17692
"/home/nov1ce/zk-snark/git_mixer/frontend/public/deposit.wasm", "WebAssembly Text Format", 0, 17625, 0, 17, 17642
"/home/nov1ce/zk-snark/git_mixer/frontend/public/withdraw.wasm", "WebAssembly Text Format", 0, 17675, 0, 17, 17692
"Total", "-", 544, 70600, 17, 223, 71384
